name,p,seconds,error,exitSpeed,maxAbsBeta,maxAbsL,distance,finalS,finalX,finalZ
"straight-acceleration",2,6,"",41.297939276851494,0,0,181.3785289269133,10181.278087976365,0,181.27808797636507
"straight-acceleration",3,6,"",41.297939276851494,0,0,181.3785289269133,10181.278087976365,0,181.27808797636507
"straight-acceleration",4,6,"",41.297939276851494,0,0,181.3785289269133,10181.278087976365,0,181.27808797636507
"straight-acceleration",6,6,"",41.297939276851494,0,0,181.3785289269133,10181.278087976365,0,181.27808797636507
"straight-acceleration",8,6,"",41.297939276851494,0,0,181.3785289269133,10181.278087976365,0,181.27808797636507
"straight-braking",2,6,"",0.00001467089619576804,180,0,68.40432557175846,10068.515034647373,0,68.51503464737262
"straight-braking",3,6,"",0.00001467089619576804,180,0,68.40432557175846,10068.515034647373,0,68.51503464737262
"straight-braking",4,6,"",0.00001467089619576804,180,0,68.40432557175846,10068.515034647373,0,68.51503464737262
"straight-braking",6,6,"",0.00001467089619576804,180,0,68.40432557175846,10068.515034647373,0,68.51503464737262
"straight-braking",8,6,"",0.00001467089619576804,180,0,68.40432557175846,10068.515034647373,0,68.51503464737262
"coasting-corner",2,8,"",33.68921791725729,4.249117720695791,192.23255177288837,312.4436240821839,10024.228381803776,192.01317209842264,24.2283818037751
"coasting-corner",3,8,"",33.68921866094023,4.249108101510145,192.23255652752465,312.4436299248739,10024.22835273838,192.01317604061555,24.228352738381176
"coasting-corner",4,8,"",33.6892186627869,4.249108083918075,192.23255653873574,312.44362993874654,10024.228352659948,192.01317604962387,24.22835265994812
"coasting-corner",6,8,"",33.689218662792506,4.249108083883323,192.2325565387711,312.4436299387876,10024.228352659706,192.01317604965283,24.22835265970577
"coasting-corner",8,8,"",33.689218662792506,4.249108083883323,192.2325565387711,312.4436299387876,10024.228352659706,192.0131760496528,24.228352659705713
"power-on-corner",2,8,"",50.793899323437635,3.241184845410294,278.1262250122325,384.6008715853702,10071.911875216123,278.1262250122325,71.91187521612326
"power-on-corner",3,8,"",50.79402968178096,3.23675170735947,278.12726683418606,384.60218350874425,10071.911658447767,278.12726683418606,71.91165844776654
"power-on-corner",4,8,"",50.794046216336135,3.2362789382077337,278.1274163440552,384.6023320611399,10071.911767645843,278.1274163440552,71.91176764584235
"power-on-corner",6,8,"",50.79404872841635,3.2362079975645175,278.12743917874076,384.60235450760257,10071.911785217471,278.12743917874076,71.91178521747167
"power-on-corner",8,8,"",50.794048782485845,3.2362064858165422,278.12743967036346,384.60235499061065,10071.911785596809,278.12743967036346,71.91178559680877
"trail-braking",2,8,"",13.103770726390884,41.5643498790919,66.47769810115567,154.68383946827544,10016.042318160393,58.29828549376968,16.042318160392774
"trail-braking",3,8,"",13.400636615153722,39.47835585284238,67.70955594492203,156.76968656196868,10014.796425317578,59.008823455929516,14.796425317578025
"trail-braking",4,8,"",13.444390972776096,39.17254367069896,67.89910331726556,157.08285062253893,10014.621714828598,59.12311943312093,14.621714828597101
"trail-braking",6,8,"",13.452582111678115,39.112446821795366,67.93620407160311,157.14217322064425,10014.586086381172,59.144585838384764,14.58608638117203
"trail-braking",8,8,"",13.45266993675148,39.111211875110556,67.93695298240499,157.14265538928726,10014.584419239267,59.14473950066449,14.584419239266186
"drift-entry",2,5,"",25.702764332676608,47.98077507853747,114.61086902019838,194.72865986286524,10097.436834104194,114.61086902019838,97.43683410419358
"drift-entry",3,5,"",25.138577592735846,50.600367232208164,112.92478658846923,192.94065214938595,10097.057809249878,112.92478658846923,97.05780924987852
"drift-entry",4,5,"",25.01509199130349,51.15191099399892,112.53312507333473,192.54246867949942,10097.000326469637,112.53312507333473,97.0003264696377
"drift-entry",6,5,"",24.98149674541291,51.30166153934994,112.42513633285934,192.43381757268594,10096.987351438356,112.42513633285934,96.98735143835552
"drift-entry",8,5,"",24.97959824941018,51.310091979009066,112.41900486073112,192.42767270049706,10096.986659114982,112.41900486073112,96.98665911498153
"drift-sustain",2,12,"",36.86345936857089,47.98077507853747,180.17531811513385,467.50371263059805,9970.567550552963,58.81932780885177,-29.43244944703643
"drift-sustain",3,12,"",36.30296400061466,50.600367232208164,176.40705536124753,461.09513018942266,9975.828677683618,55.243349737032084,-24.171322316382142
"drift-sustain",4,12,"",36.17878588229937,51.15191099399892,175.59466623505344,459.67526203967014,9977.008942797285,54.52955415182217,-22.991057202715616
"drift-sustain",6,12,"",36.14483671598713,51.30166153934994,175.37427771146707,459.2871743269775,9977.332615061883,54.33979472021436,-22.6673849381172
"drift-sustain",8,12,"",36.14291561762327,51.310091979009066,175.3618169943325,459.26521491985136,9977.350950811335,54.329120317413704,-22.64904918866605
"drift-correction-exit",2,12,"",41.659924190814294,47.98077507853747,381.7324220489805,487.2082428574617,10235.760623666865,381.7324220489805,235.76062366686503
"drift-correction-exit",3,12,"",41.03914993955456,50.600367232208164,379.5475710875661,480.54148209367276,10223.147970761467,379.5475710875661,223.14797076146712
"drift-correction-exit",4,12,"",40.89394975024343,51.15191099399892,379.1120735202413,478.98970346162884,10219.836766875136,379.1120735202413,219.8367668751357
"drift-correction-exit",6,12,"",40.853799221023394,51.30166153934994,378.9897008139524,478.56131874742323,10218.913575246957,378.9897008139524,218.91357524695786
"drift-correction-exit",8,12,"",40.851523204911324,51.310091979009066,378.9827146518321,478.5370433726944,10218.861185722219,378.9827146518321,218.86118572221898
"Tsukuba",2,88.84166666666667,"",24.40413459035367,1.4817454872675646,7.3234625046262645,1919.725264537474,2070.191705686676,0.14708053082002437,25.191705686676144
"Tsukuba",3,88.84166666666667,"",24.400808125990675,1.484732493158968,7.492081127041738,1919.3542094328134,2069.9316680252628,0.3004750907997709,24.931668025262635
"Tsukuba",4,88.84166666666667,"",24.380010991215666,1.4853820740835695,7.532836637012643,1918.1880675637603,2069.1475342016424,1.34542188650221,24.147534201642554
"Tsukuba",6,88.84166666666667,"",24.375983695502814,1.485601516592432,7.54661825394241,1917.9451914786432,2068.97279351973,1.5494590459324875,23.97279351973035
"Tsukuba",8,88.84166666666667,"",24.376002763180715,1.4856208667741932,7.5477092348753665,1917.93213922171,2068.9606497515133,1.560701355676472,23.96064975151331
"FISCO",2,168.24166666666667,"",28.227214292132988,1.8650729022512862,6.277300847293969,4426.282963117025,4588.179950151748,0.034428997145402124,25.179950151771852
"FISCO",3,168.24166666666667,"",28.22343452711351,1.8581335787686275,6.230804541683478,4426.085157252161,4588.271324021331,0.03489169860770945,25.27132402135417
"FISCO",4,168.24166666666667,"",28.22356357099163,1.857887446446006,6.226379649509402,4426.078767030704,4588.275267872238,0.030959916794266785,25.27526787226203
"FISCO",6,168.24166666666667,"",28.223497720377175,1.857887446446006,6.225587192137924,4426.075092473746,4588.279131597284,0.029256154704032845,25.279131597307114
"FISCO",8,168.24166666666667,"",28.223499157852242,1.857887446446006,6.225561443650325,4426.075113932595,4588.279112775352,0.029221409149552655,25.27911277537575
