id,grip,action,max_beta_deg_above15,peak_speed_ms,exit_speed_ms,distance_m,first_beta15_s,completed
GOLF_GTI_16V,1,counterPulseBrake,12.733575,23.036532,0.00052574838,40.950499,,true
GOLF_GTI_16V,1,reverseCoast,2.5286224,28.053152,23.605693,117.17261,,true
GOLF_GTI_16V,1,reverseBrake,47.863332,15.010489,0.00031616287,37.004713,0.55,true
GOLF_GTI_16V,0.25,holdCoast,13.471547,27.14419,24.872408,120.91932,,true
GOLF_GTI_16V,0.25,holdBrake25,55.260773,20.496026,16.019796,101.56692,0.825,true
GOLF_GTI_16V,0.25,holdBrake50,55.260843,20.496004,16.019788,101.56683,0.825,true
GOLF_GTI_16V,0.25,holdBrake100,55.260843,20.496004,16.019788,101.56683,0.825,true
GOLF_GTI_16V,0.25,releaseCoast,6.0560066,28.950227,27.177395,126.29458,,true
GOLF_GTI_16V,0.25,releaseBrake,6.5686175,27.96369,1.9842393,71.163551,,true
GOLF_GTI_16V,0.25,delayedReleaseBrake,10.664713,26.79396,3.4624568,77.045941,,true
GOLF_GTI_16V,0.25,counterPulseBrake,6.5544872,28.416654,2.7550221,74.349309,,true
GOLF_GTI_16V,0.25,reverseCoast,41.824098,26.254053,23.296344,117.22022,0.85,true
GOLF_GTI_16V,0.25,reverseBrake,76.617316,19.847398,14.130581,96.573503,0.85833333,true
DELTA_HF_INTEGRALE,1,holdCoast,1.796183,28.692092,23.961526,118.07132,,true
DELTA_HF_INTEGRALE,1,holdBrake25,3.0470265,27.043907,12.174716,90.364008,,true
DELTA_HF_INTEGRALE,1,holdBrake50,13.910661,21.715312,0.07014794,59.420934,,true
DELTA_HF_INTEGRALE,1,holdBrake100,47.796646,15.059623,4.1763126e-05,35.105034,0.43333333,true
DELTA_HF_INTEGRALE,1,releaseCoast,2.1847383,28.608287,27.024182,125.1876,,true
DELTA_HF_INTEGRALE,1,releaseBrake,2.3932897,27.946567,0.00012578429,37.930969,,true
DELTA_HF_INTEGRALE,1,delayedReleaseBrake,19.572189,23.083298,0.00016486012,38.997302,0.425,true
DELTA_HF_INTEGRALE,1,counterPulseBrake,11.394766,23.237057,0.00015642154,38.740515,,true
DELTA_HF_INTEGRALE,1,reverseCoast,2.4236121,28.230659,24.031927,118.41828,,true
DELTA_HF_INTEGRALE,1,reverseBrake,42.619318,15.082934,4.7432744e-06,36.404062,0.55,true
DELTA_HF_INTEGRALE,0.25,holdCoast,13.79159,27.200871,24.940205,121.20157,,true
DELTA_HF_INTEGRALE,0.25,holdBrake25,56.583499,20.521457,15.940622,101.61988,0.80833333,true
DELTA_HF_INTEGRALE,0.25,holdBrake50,56.583499,20.521457,15.940622,101.61988,0.80833333,true
DELTA_HF_INTEGRALE,0.25,holdBrake100,56.583499,20.521457,15.940622,101.61988,0.80833333,true
DELTA_HF_INTEGRALE,0.25,releaseCoast,6.1269442,29.024154,27.393985,126.92902,,true
DELTA_HF_INTEGRALE,0.25,releaseBrake,6.5490703,28.199741,2.16074,71.894904,,true
DELTA_HF_INTEGRALE,0.25,delayedReleaseBrake,10.49249,27.153583,3.6756275,77.921591,,true
DELTA_HF_INTEGRALE,0.25,counterPulseBrake,6.555404,28.522696,2.9201243,75.017888,,true
DELTA_HF_INTEGRALE,0.25,reverseCoast,42.855527,26.250058,23.179041,116.96101,0.825,true
DELTA_HF_INTEGRALE,0.25,reverseBrake,79.502028,19.601713,13.642229,95.774915,0.825,true
VFR750R,1,holdCoast,2.9311493,27.84518,21.259012,109.64082,,true
VFR750R,1,holdBrake25,21.068925,23.960412,8.2161856,75.514745,0.45833333,true
VFR750R,1,holdBrake50,62.429237,18.307594,0.00098616987,38.151383,0.325,true
VFR750R,1,holdBrake100,108.15015,15.062151,0.00025474212,29.861284,0.31666667,true
VFR750R,1,releaseCoast,2.9311493,27.84518,24.607022,117.59773,,true
VFR750R,1,releaseBrake,3.0683557,27.290884,0.049002573,49.403644,,true
VFR750R,1,delayedReleaseBrake,75.283026,18.497521,0.0043517899,35.692161,0.31666667,true
VFR750R,1,counterPulseBrake,67.759469,17.433031,0.0050247714,38.696105,0.4,true
VFR750R,1,reverseCoast,4.7134325,27.15321,21.2811,109.77797,,true
VFR750R,1,reverseBrake,110.64352,15.114287,0.00085908181,31.167967,0.40833333,true
VFR750R,0.25,holdCoast,14.246819,27.002924,22.863782,114.23369,,true
VFR750R,0.25,holdBrake25,59.14105,21.976321,13.663058,93.919788,0.375,true
VFR750R,0.25,holdBrake50,59.141495,21.976225,13.123406,93.560029,0.375,true
VFR750R,0.25,holdBrake100,59.141495,21.976225,13.076218,93.513008,0.375,true
VFR750R,0.25,releaseCoast,10.321325,28.180981,24.936058,119.27955,,true
VFR750R,0.25,releaseBrake,14.388723,24.660147,1.6279538,69.067327,,true
VFR750R,0.25,delayedReleaseBrake,60.005363,17.085299,6.6847455,79.153867,0.375,true
VFR750R,0.25,counterPulseBrake,10.945034,27.736759,2.0407729,71.1745,,true
VFR750R,0.25,reverseCoast,52.881223,25.019866,19.819666,106.99482,0.63333333,true
VFR750R,0.25,reverseBrake,112.01914,18.374075,9.5553215,84.424851,0.66666667,true
R80_GS_PARIS_DAKAR,1,holdCoast,2.7789721,27.366298,20.23451,106.04659,,true
R80_GS_PARIS_DAKAR,1,holdBrake25,25.796208,22.78589,6.8206753,70.33126,0.475,true
R80_GS_PARIS_DAKAR,1,holdBrake50,63.343837,17.852419,0.059957354,38.127582,0.35833333,true
R80_GS_PARIS_DAKAR,1,holdBrake100,107.86794,15.006408,0.027015027,29.854309,0.35,true
R80_GS_PARIS_DAKAR,1,releaseCoast,2.9357692,27.274518,23.224434,113.3103,,true
